Orthogroup	Node	Bootstrap	Paralog1	Paralog2
gene_trees/10074.treefile	N1	91	Genome_Ecalifornica_ID_EscalH1.3G045200	Genome_Ecalifornica_ID_EscalH1.2G401200
gene_trees/10075.treefile	N3	73	Genome_Acoerulea_ID_Aqcoe1G319500	Genome_Acoerulea_ID_Aqcoe1G319400
gene_trees/10108.treefile	N4	37	Genome_Ctomentella_ID_contig6P9T84.1	Genome_Ctomentella_ID_contig25R10T30.1
gene_trees/10114.treefile	N3	33	Genome_Acoerulea_ID_Aqcoe1G263500	Genome_Acoerulea_ID_Aqcoe4G100900
gene_trees/10115.treefile	N5	89	Genome_Epleiosperma_ID_evm.model.CTG_127.284	Genome_Epleiosperma_ID_evm.model.CTG_396.22
gene_trees/10116.treefile	N5	39	Genome_Acoerulea_ID_Aqcoe1G262400	Genome_Acoerulea_ID_Aqcoe4G099800
gene_trees/10117.treefile	N4	27	Genome_Cchinensis_ID_KAF9590007.1	Genome_Cchinensis_ID_KAF9610601.1
gene_trees/10127.treefile	N3	76	Genome_Acoerulea_ID_Aqcoe1G259100	Genome_Acoerulea_ID_Aqcoe1G259200
gene_trees/1015.treefile	N2	55	Genome_Psomniferum_ID_LOC113294942	Genome_Psomniferum_ID_LOC113320407
gene_trees/1015.treefile	N1	99	Genome_Ecalifornica_ID_EscalH1.4G464700	Genome_Ecalifornica_ID_EscalH1.3G166400
gene_trees/10155.treefile	N2	43	Genome_Ctomentella_ID_contig8R36T20.1	Genome_Ctomentella_ID_contig94A3T65.1
gene_trees/10261.treefile	N2	63	Genome_Ctomentella_ID_contig133A1T84.1	Genome_Ctomentella_ID_contig133A1T83.1
gene_trees/10289.treefile	N4	49	Genome_Ctomentella_ID_contig144A0T44.1	Genome_Ctomentella_ID_contig144R0T4.1
gene_trees/10315.treefile	N5	34	Genome_Epleiosperma_ID_evm.model.CTG_127.157_evm.model.CTG_127.158	Genome_Epleiosperma_ID_evm.model.CTG_50.61
gene_trees/10355.treefile	N4	30	Genome_Acoerulea_ID_Aqcoe2G384900	Genome_Acoerulea_ID_Aqcoe5G011900
gene_trees/10355.treefile	N5	55	Genome_Epleiosperma_ID_evm.model.CTG_55.10	Genome_Epleiosperma_ID_evm.model.CTG_367.33
gene_trees/10357.treefile	N5	69	Genome_Ecalifornica_ID_EscalH1.3G347100	Genome_Ecalifornica_ID_EscalH1.3G426000
gene_trees/10360.treefile	N5	90	Genome_Epleiosperma_ID_evm.model.CTG_50.63	Genome_Epleiosperma_ID_evm.model.CTG_127.184
gene_trees/10368.treefile	N5	37	Genome_Acoerulea_ID_Aqcoe5G027200	Genome_Acoerulea_ID_Aqcoe2G372400
gene_trees/10381.treefile	N5	67	Genome_Cchinensis_ID_KAF9607872.1	Genome_Cchinensis_ID_KAF9605654.1
gene_trees/10390.treefile	N5	61	Genome_Epleiosperma_ID_evm.model.CTG_379.90	Genome_Epleiosperma_ID_evm.model.CTG_500.108
gene_trees/10396.treefile	N5	71	Genome_Cchinensis_ID_KAF9608122.1	Genome_Cchinensis_ID_KAF9606139.1
gene_trees/10407.treefile	N4	53	Genome_Acoerulea_ID_Aqcoe2G364300	Genome_Acoerulea_ID_Aqcoe5G036500
gene_trees/10435.treefile	N4	43	Genome_Ctomentella_ID_contig57R4T16.1	Genome_Ctomentella_ID_contig25R3T13.1
gene_trees/10436.treefile	N3	97	Genome_Acoerulea_ID_Aqcoe5G276600	Genome_Acoerulea_ID_Aqcoe5G276700
gene_trees/1044.treefile	N5	92	Genome_Epleiosperma_ID_evm.model.CTG_106.90	Genome_Epleiosperma_ID_evm.model.CTG_45.48
gene_trees/10467.treefile	N1	65	Genome_Ecalifornica_ID_EscalH1.2G122200	Genome_Ecalifornica_ID_EscalH1.3G293600
gene_trees/10471.treefile	N5	81	Genome_Acoerulea_ID_Aqcoe1G242800	Genome_Acoerulea_ID_Aqcoe4G068400
gene_trees/10472.treefile	N5	50	Genome_Epleiosperma_ID_evm.model.CTG_50.39	Genome_Epleiosperma_ID_evm.model.CTG_127.153
gene_trees/10473.treefile	N1	100	Genome_Psomniferum_ID_LOC113292603	Genome_Psomniferum_ID_LOC113297061
gene_trees/10474.treefile	N5	70	Genome_Epleiosperma_ID_evm.model.CTG_50.26_evm.model.CTG_50.27	Genome_Epleiosperma_ID_evm.model.CTG_127.140_evm.model.CTG_127.141
gene_trees/10477.treefile	N5	26	Genome_Ctomentella_ID_contig25R0T11.1	Genome_Ctomentella_ID_contig1A7T149.1
gene_trees/10477.treefile	N1	96	Genome_Ecalifornica_ID_EscalH1.3G358800	Genome_Ecalifornica_ID_EscalH1.3G358700
gene_trees/10491.treefile	N5	43	Genome_Epleiosperma_ID_evm.model.CTG_127.101.3	Genome_Epleiosperma_ID_evm.model.CTG_435.148
gene_trees/10557.treefile	N1	92	Genome_Ecalifornica_ID_EscalH1.3G075100	Genome_Ecalifornica_ID_EscalH1.3G075300
gene_trees/10589.treefile	N3	45	Genome_Acoerulea_ID_Aqcoe5G004500	Genome_Acoerulea_ID_Aqcoe2G427800
gene_trees/1059.treefile	N1	85	Genome_Psomniferum_ID_LOC113322270	Genome_Psomniferum_ID_LOC113309320
gene_trees/1059.treefile	N2	59	Genome_Ctomentella_ID_contig24R10T9.1	Genome_Ctomentella_ID_contig24R10T6.1
gene_trees/1059.treefile	N3	100	Genome_Acoerulea_ID_Aqcoe1G034600	Genome_Acoerulea_ID_Aqcoe1G034700
gene_trees/1059.treefile	N5	100	Genome_Cchinensis_ID_KAF9592578.1	Genome_Cchinensis_ID_KAF9595997.1
gene_trees/10633.treefile	N5	33	Genome_Acoerulea_ID_Aqcoe1G032700	Genome_Acoerulea_ID_Aqcoe2G020600
gene_trees/1073.treefile	N4	28	Genome_Ecalifornica_ID_EscalH1.5G359400	Genome_Ecalifornica_ID_EscalH1.3G171400
gene_trees/1081.treefile	N4	54	Genome_Acoerulea_ID_Aqcoe1G043600	Genome_Acoerulea_ID_Aqcoe1G043700
gene_trees/10851.treefile	N5	100	Genome_Epleiosperma_ID_evm.model.CTG_182.256	Genome_Epleiosperma_ID_evm.model.CTG_182.259
gene_trees/10851.treefile	N1	100	Genome_Psomniferum_ID_LOC113286795	Genome_Psomniferum_ID_LOC113286805
gene_trees/10851.treefile	N1	56	Genome_Ecalifornica_ID_EscalH1.1G312200	Genome_Ecalifornica_ID_EscalH1.1G312100
gene_trees/10904.treefile	N1	93	Genome_Psomniferum_ID_LOC113311459	Genome_Psomniferum_ID_LOC113311447
gene_trees/10990.treefile	N4	70	Genome_Cchinensis_ID_KAF9609870.1	Genome_Cchinensis_ID_KAF9608209.1
gene_trees/1103.treefile	N1	81	Genome_Ecalifornica_ID_EscalH1.6G187400	Genome_Ecalifornica_ID_EscalH1.5G186500
gene_trees/11049.treefile	N2	51	Genome_Ctomentella_ID_contig22A29T130.1	Genome_Ctomentella_ID_contig22R8T16.1
gene_trees/11052.treefile	N5	56	Genome_Epleiosperma_ID_evm.model.CTG_351.65	Genome_Epleiosperma_ID_evm.model.CTG_311.170
gene_trees/11140.treefile	N5	48	Genome_Ctomentella_ID_contig17R2T21.1	Genome_Ctomentella_ID_contig21A8T164.1
gene_trees/11147.treefile	N2	56	Genome_Ecalifornica_ID_EscalH1.2G110200	Genome_Ecalifornica_ID_EscalH1.2G110100
gene_trees/11149.treefile	N5	41	Genome_Epleiosperma_ID_evm.model.CTG_166.17	Genome_Epleiosperma_ID_evm.model.CTG_236.22
gene_trees/11193.treefile	N3	41	Genome_Acoerulea_ID_Aqcoe1G175600	Genome_Acoerulea_ID_Aqcoe1G168600
gene_trees/11235.treefile	N3	62	Genome_Acoerulea_ID_Aqcoe4G005500	Genome_Acoerulea_ID_Aqcoe1G169400
gene_trees/11245.treefile	N3	98	Genome_Acoerulea_ID_Aqcoe4G005300	Genome_Acoerulea_ID_Aqcoe4G005400
gene_trees/11276.treefile	N1	100	Genome_Ecalifornica_ID_EscalH1.5G388400	Genome_Ecalifornica_ID_EscalH1.3G054600
gene_trees/11351.treefile	N5	52	Genome_Epleiosperma_ID_evm.model.CTG_32.117	Genome_Epleiosperma_ID_evm.model.CTG_36.54
gene_trees/11354.treefile	N5	33	Genome_Epleiosperma_ID_evm.model.CTG_269.206	Genome_Epleiosperma_ID_evm.model.CTG_328.131
gene_trees/11354.treefile	N1	99	Genome_Ecalifornica_ID_EscalH1.3G297400	Genome_Ecalifornica_ID_EscalH1.5G102000
gene_trees/11354.treefile	N4	36	Genome_Ctomentella_ID_contig39A8T211.1	Genome_Ctomentella_ID_contig18A13T151.1
gene_trees/11372.treefile	N4	56	Genome_Psomniferum_ID_LOC113328232	Genome_Psomniferum_ID_LOC113294553
gene_trees/11402.treefile	N1	61	Genome_Ecalifornica_ID_EscalH1.3G302200	Genome_Ecalifornica_ID_EscalH1.3G302300
gene_trees/1141.treefile	N5	50	Genome_Epleiosperma_ID_evm.model.CTG_127.52	Genome_Epleiosperma_ID_evm.model.CTG_435.105
gene_trees/11481.treefile	N2	59	Genome_Ecalifornica_ID_EscalH1.5G382600	Genome_Ecalifornica_ID_EscalH1.6G060900
gene_trees/115.treefile	N5	56	Genome_Epleiosperma_ID_evm.model.CTG_359.223	Genome_Epleiosperma_ID_evm.model.CTG_196.319
gene_trees/11529.treefile	N4	39	Genome_Ecalifornica_ID_EscalH1.3G314200	Genome_Ecalifornica_ID_EscalH1.5G374700
gene_trees/1155.treefile	N5	50	Genome_Epleiosperma_ID_evm.model.CTG_196.323	Genome_Epleiosperma_ID_evm.model.CTG_359.231
gene_trees/1156.treefile	N1	99	Genome_Ecalifornica_ID_EscalH1.1G226700	Genome_Ecalifornica_ID_EscalH1.2G226200
gene_trees/11565.treefile	N5	72	Genome_Psomniferum_ID_LOC113287222	Genome_Psomniferum_ID_LOC113297004
gene_trees/11565.treefile	N4	54	Genome_Ecalifornica_ID_EscalH1.2G105900	Genome_Ecalifornica_ID_EscalH1.3G280200
gene_trees/1157.treefile	N4	39	Genome_Cchinensis_ID_KAF9596955.1	Genome_Cchinensis_ID_KAF9593337.1
gene_trees/11571.treefile	N2	76	Genome_Ctomentella_ID_contig1A11T112.1	Genome_Ctomentella_ID_contig1A11T113.1
gene_trees/11581.treefile	N4	62	Genome_Acoerulea_ID_Aqcoe4G050800	Genome_Acoerulea_ID_Aqcoe1G288000
gene_trees/11581.treefile	N5	75	Genome_Epleiosperma_ID_evm.model.CTG_435.137	Genome_Epleiosperma_ID_evm.model.CTG_127.89
gene_trees/11589.treefile	N2	65	Genome_Psomniferum_ID_LOC113297047	Genome_Psomniferum_ID_LOC113302294
gene_trees/11589.treefile	N1	100	Genome_Ecalifornica_ID_EscalH1.3G359900	Genome_Ecalifornica_ID_EscalH1.5G056600
gene_trees/11623.treefile	N3	77	Genome_Cchinensis_ID_KAF9600003.1	Genome_Cchinensis_ID_KAF9600006.1
gene_trees/11636.treefile	N5	52	Genome_Cchinensis_ID_KAF9614480.1	Genome_Cchinensis_ID_KAF9614479.1
gene_trees/11637.treefile	N5	60	Genome_Acoerulea_ID_Aqcoe7G078700	Genome_Acoerulea_ID_Aqcoe5G420100
gene_trees/1165.treefile	N5	46	Genome_Epleiosperma_ID_evm.model.CTG_196.134.16	Genome_Epleiosperma_ID_evm.model.CTG_359.22
gene_trees/11652.treefile	N4	78	Genome_Ctomentella_ID_contig2A44T131.1	Genome_Ctomentella_ID_contig6R36T30.1
gene_trees/11653.treefile	N3	34	Genome_Acoerulea_ID_Aqcoe3G270600	Genome_Acoerulea_ID_Aqcoe7G092800
gene_trees/11653.treefile	N4	20	Genome_Ctomentella_ID_contig2R44T28.1	Genome_Ctomentella_ID_contig6A36T183.1
gene_trees/11653.treefile	N5	75	Genome_Epleiosperma_ID_evm.model.CTG_394.73_evm.model.CTG_394.76	Genome_Epleiosperma_ID_evm.model.CTG_451.52
gene_trees/11665.treefile	N4	43	Genome_Ctomentella_ID_contig6R37T21.1	Genome_Ctomentella_ID_contig2R47T14.1
gene_trees/11689.treefile	N5	53	Genome_Ecalifornica_ID_EscalH1.5G140900	Genome_Ecalifornica_ID_EscalH1.5G100800
gene_trees/1170.treefile	N5	44	Genome_Ecalifornica_ID_EscalH1.6G188500	Genome_Ecalifornica_ID_EscalH1.5G187400
gene_trees/11707.treefile	N5	93	Genome_Ecalifornica_ID_EscalH1.1G100800	Genome_Ecalifornica_ID_EscalH1.5G138700
gene_trees/11761.treefile	N1	99	Genome_Ecalifornica_ID_EscalH1.5G086200	Genome_Ecalifornica_ID_EscalH1.1G090000
gene_trees/11761.treefile	N4	40	Genome_Acoerulea_ID_Aqcoe7G095200	Genome_Acoerulea_ID_Aqcoe3G253600
gene_trees/11784.treefile	N2	56	Genome_Ecalifornica_ID_EscalH1.4G226100	Genome_Ecalifornica_ID_EscalH1.1G088200
gene_trees/1180.treefile	N5	76	Genome_Psomniferum_ID_LOC113320101	Genome_Psomniferum_ID_LOC113308486
gene_trees/11808.treefile	N5	64	Genome_Epleiosperma_ID_evm.model.CTG_64.15	Genome_Epleiosperma_ID_evm.model.CTG_193.177
gene_trees/1184.treefile	N2	21	Genome_Ctomentella_ID_contig11R29T21.1	Genome_Ctomentella_ID_contig52R2T11.1
gene_trees/11849.treefile	N3	71	Genome_Cchinensis_ID_KAF9603754.1	Genome_Cchinensis_ID_KAF9603757.1
gene_trees/11858.treefile	N2	78	Genome_Ecalifornica_ID_EscalH1.6G288300	Genome_Ecalifornica_ID_EscalH1.6G138400
gene_trees/11866.treefile	N4	74	Genome_Ecalifornica_ID_EscalH1.6G288700	Genome_Ecalifornica_ID_EscalH1.6G137800
gene_trees/11869.treefile	N5	80	Genome_Epleiosperma_ID_evm.model.CTG_351.13	Genome_Epleiosperma_ID_evm.model.CTG_311.268
gene_trees/119.treefile	N5	33	Genome_Psomniferum_ID_LOC113314440	Genome_Psomniferum_ID_LOC113309822
gene_trees/119.treefile	N3	100	Genome_Cchinensis_ID_KAF9595967.1	Genome_Cchinensis_ID_KAF9595968.1
gene_trees/11905.treefile	N1	86	Genome_Ecalifornica_ID_EscalH1.1G080800	Genome_Ecalifornica_ID_EscalH1.5G072800
gene_trees/11908.treefile	N1	28	Genome_Psomniferum_ID_LOC113294742	Genome_Psomniferum_ID_LOC113297577
gene_trees/1192.treefile	N3	69	Genome_Cchinensis_ID_KAF9594856.1	Genome_Cchinensis_ID_KAF9595685.1
gene_trees/1192.treefile	N1	62	Genome_Ecalifornica_ID_EscalH1.1G232800	Genome_Ecalifornica_ID_EscalH1.2G230000
gene_trees/1194.treefile	N1	79	Genome_Ecalifornica_ID_EscalH1.1G511500	Genome_Ecalifornica_ID_EscalH1.1G232700
gene_trees/11940.treefile	N1	100	Genome_Ecalifornica_ID_EscalH1.4G231100	Genome_Ecalifornica_ID_EscalH1.5G076500
gene_trees/11971.treefile	N1	91	Genome_Ecalifornica_ID_EscalH1.6G295800	Genome_Ecalifornica_ID_EscalH1.4G189800
gene_trees/11976.treefile	N1	96	Genome_Ecalifornica_ID_EscalH1.4G188300	Genome_Ecalifornica_ID_EscalH1.1G131900
gene_trees/11979.treefile	N5	58	Genome_Ecalifornica_ID_EscalH1.6G297600	Genome_Ecalifornica_ID_EscalH1.1G131600
gene_trees/1199.treefile	N5	33	Genome_Epleiosperma_ID_evm.model.CTG_196.156	Genome_Epleiosperma_ID_evm.model.CTG_359.44
gene_trees/12056.treefile	N5	79	Genome_Epleiosperma_ID_evm.model.CTG_447.46	Genome_Epleiosperma_ID_evm.model.CTG_294.168
gene_trees/12065.treefile	N3	100	Genome_Cchinensis_ID_KAF9615806.1	Genome_Cchinensis_ID_KAF9615804.1
gene_trees/12082.treefile	N5	78	Genome_Acoerulea_ID_Aqcoe3G115800	Genome_Acoerulea_ID_Aqcoe3G295100
gene_trees/1209.treefile	N1	96	Genome_Ecalifornica_ID_EscalH1.1G231800	Genome_Ecalifornica_ID_EscalH1.1G511200
gene_trees/12091.treefile	N1	100	Genome_Ecalifornica_ID_EscalH1.6G106000	Genome_Ecalifornica_ID_EscalH1.1G654400
gene_trees/12091.treefile	N5	41	Genome_Ecalifornica_ID_EscalH1.6G106000	Genome_Ecalifornica_ID_EscalH1.4G342500
gene_trees/12093.treefile	N1	100	Genome_Ecalifornica_ID_EscalH1.2G026800	Genome_Ecalifornica_ID_EscalH1.1G654300
gene_trees/12097.treefile	N3	92	Genome_Acoerulea_ID_Aqcoe3G111100	Genome_Acoerulea_ID_Aqcoe3G111200
gene_trees/12114.treefile	N5	55	Genome_Epleiosperma_ID_evm.model.CTG_1.730	Genome_Epleiosperma_ID_evm.model.CTG_232.41
gene_trees/12115.treefile	N5	70	Genome_Ctomentella_ID_contig12R19T6.1	Genome_Ctomentella_ID_contig1R53T12.1
gene_trees/12119.treefile	N5	30	Genome_Psomniferum_ID_LOC113295017	Genome_Psomniferum_ID_LOC113281636
gene_trees/12127.treefile	N2	96	Genome_Ctomentella_ID_contig1A32T130.1	Genome_Ctomentella_ID_contig1R32T23.1
gene_trees/12145.treefile	N5	77	Genome_Epleiosperma_ID_evm.model.CTG_264.147	Genome_Epleiosperma_ID_evm.model.CTG_1.171
gene_trees/12150.treefile	N5	84	Genome_Epleiosperma_ID_evm.model.CTG_264.184	Genome_Epleiosperma_ID_evm.model.CTG_1.114
gene_trees/12161.treefile	N5	67	Genome_Epleiosperma_ID_evm.model.CTG_235.706	Genome_Epleiosperma_ID_evm.model.CTG_235.707
gene_trees/12179.treefile	N3	89	Genome_Acoerulea_ID_Aqcoe5G370800	Genome_Acoerulea_ID_Aqcoe3G190100
gene_trees/12191.treefile	N4	41	Genome_Ecalifornica_ID_EscalH1.1G282200	Genome_Ecalifornica_ID_EscalH1.4G364500
gene_trees/12198.treefile	N1	99	Genome_Ecalifornica_ID_EscalH1.6G113100	Genome_Ecalifornica_ID_EscalH1.2G013000
gene_trees/12201.treefile	N3	68	Genome_Acoerulea_ID_Aqcoe5G373400	Genome_Acoerulea_ID_Aqcoe5G373300
gene_trees/12202.treefile	N2	97	Genome_Ecalifornica_ID_EscalH1.2G523800	Genome_Ecalifornica_ID_EscalH1.4G363000
gene_trees/1221.treefile	N4	28	Genome_Ecalifornica_ID_EscalH1.2G228600	Genome_Ecalifornica_ID_EscalH1.3G209100
gene_trees/12213.treefile	N5	77	Genome_Ctomentella_ID_contig55R10T20.1	Genome_Ctomentella_ID_contig1A86T208.1
gene_trees/1222.treefile	N5	67	Genome_Acoerulea_ID_Aqcoe6G158100	Genome_Acoerulea_ID_Aqcoe5G219800
gene_trees/12225.treefile	N1	15	Genome_Psomniferum_ID_LOC113298249	Genome_Psomniferum_ID_LOC113303255
gene_trees/12242.treefile	N3	100	Genome_Acoerulea_ID_Aqcoe3G426900	Genome_Acoerulea_ID_Aqcoe3G426700
gene_trees/1227.treefile	N5	67	Genome_Psomniferum_ID_LOC113298502	Genome_Psomniferum_ID_LOC113321297
gene_trees/12271.treefile	N1	99	Genome_Ecalifornica_ID_EscalH1.1G362800	Genome_Ecalifornica_ID_EscalH1.1G564100
gene_trees/12286.treefile	N3	99	Genome_Acoerulea_ID_Aqcoe3G421600	Genome_Acoerulea_ID_Aqcoe3G421700
gene_trees/12317.treefile	N5	66	Genome_Acoerulea_ID_Aqcoe3G400700	Genome_Acoerulea_ID_Aqcoe3G043000
gene_trees/12328.treefile	N5	62	Genome_Epleiosperma_ID_evm.model.CTG_510.89	Genome_Epleiosperma_ID_evm.model.CTG_168.268
gene_trees/12329.treefile	N2	39	Genome_Ctomentella_ID_contig10A27T83.1	Genome_Ctomentella_ID_contig10A27T82.1
gene_trees/12346.treefile	N2	69	Genome_Ecalifornica_ID_EscalH1.1G347000	Genome_Ecalifornica_ID_EscalH1.4G303500
gene_trees/12346.treefile	N3	99	Genome_Acoerulea_ID_Aqcoe3G388100	Genome_Acoerulea_ID_Aqcoe3G385200
gene_trees/12349.treefile	N4	25	Genome_Psomniferum_ID_LOC113281863	Genome_Psomniferum_ID_LOC113302924
gene_trees/12358.treefile	N1	44	Genome_Ecalifornica_ID_EscalH1.2G481800	Genome_Ecalifornica_ID_EscalH1.4G303100
gene_trees/12383.treefile	N1	59	Genome_Ecalifornica_ID_EscalH1.4G050300	Genome_Ecalifornica_ID_EscalH1.3G207800
gene_trees/12383.treefile	N3	97	Genome_Acoerulea_ID_Aqcoe1G490400	Genome_Acoerulea_ID_Aqcoe1G490500
gene_trees/12393.treefile	N1	86	Genome_Ecalifornica_ID_EscalH1.4G043500	Genome_Ecalifornica_ID_EscalH1.1G432200
gene_trees/12393.treefile	N5	43	Genome_Epleiosperma_ID_evm.model.CTG_196.108	Genome_Epleiosperma_ID_evm.model.CTG_483.147
gene_trees/12397.treefile	N5	88	Genome_Epleiosperma_ID_evm.model.CTG_196.104	Genome_Epleiosperma_ID_evm.model.CTG_483.143
gene_trees/12402.treefile	N5	93	Genome_Epleiosperma_ID_evm.model.CTG_196.122	Genome_Epleiosperma_ID_evm.model.CTG_359.4
gene_trees/12405.treefile	N1	100	Genome_Ecalifornica_ID_EscalH1.1G431900	Genome_Ecalifornica_ID_EscalH1.3G213000
gene_trees/12406.treefile	N2	38	Genome_Ctomentella_ID_contig11R26T22.1	Genome_Ctomentella_ID_contig11R26T23.1
gene_trees/12424.treefile	N4	14	Genome_Ecalifornica_ID_EscalH1.1G433800	Genome_Ecalifornica_ID_EscalH1.4G040500
gene_trees/12433.treefile	N1	46	Genome_Psomniferum_ID_LOC113311979	Genome_Psomniferum_ID_LOC113313759
gene_trees/12433.treefile	N5	82	Genome_Cchinensis_ID_KAF9597195.1	Genome_Cchinensis_ID_KAF9594193.1
gene_trees/12433.treefile	N3	92	Genome_Cchinensis_ID_KAF9597194.1	Genome_Cchinensis_ID_KAF9597195.1
gene_trees/12434.treefile	N5	91	Genome_Cchinensis_ID_KAF9598373.1	Genome_Cchinensis_ID_KAF9597186.1
gene_trees/12435.treefile	N3	65	Genome_Cchinensis_ID_KAF9598349.1	Genome_Cchinensis_ID_KAF9594190.1
gene_trees/12439.treefile	N5	41	Genome_Epleiosperma_ID_evm.model.CTG_483.70	Genome_Epleiosperma_ID_evm.model.CTG_196.32
gene_trees/12447.treefile	N1	93	Genome_Ecalifornica_ID_EscalH1.2G236200	Genome_Ecalifornica_ID_EscalH1.1G244800
gene_trees/12451.treefile	N1	76	Genome_Ecalifornica_ID_EscalH1.4G036500	Genome_Ecalifornica_ID_EscalH1.3G219800
gene_trees/12457.treefile	N2	57	Genome_Ecalifornica_ID_EscalH1.1G245500	Genome_Ecalifornica_ID_EscalH1.4G036200
gene_trees/12474.treefile	N4	49	Genome_Psomniferum_ID_LOC113310303	Genome_Psomniferum_ID_LOC113309864
gene_trees/12474.treefile	N5	99	Genome_Epleiosperma_ID_evm.model.CTG_483.11	Genome_Epleiosperma_ID_evm.model.CTG_275.896
gene_trees/12474.treefile	N3	94	Genome_Cchinensis_ID_KAF9591716.1	Genome_Cchinensis_ID_KAF9591715.1
gene_trees/12477.treefile	N3	54	Genome_Cchinensis_ID_KAF9598342.1	Genome_Cchinensis_ID_KAF9596725.1
gene_trees/12484.treefile	N3	99	Genome_Cchinensis_ID_KAF9597069.1	Genome_Cchinensis_ID_KAF9597070.1
gene_trees/12485.treefile	N5	53	Genome_Epleiosperma_ID_evm.model.CTG_392.41	Genome_Epleiosperma_ID_evm.model.CTG_275.866
gene_trees/12521.treefile	N5	98	Genome_Epleiosperma_ID_evm.model.CTG_275.187	Genome_Epleiosperma_ID_evm.model.CTG_185.269
gene_trees/12541.treefile	N1	99	Genome_Ecalifornica_ID_EscalH1.2G520500	Genome_Ecalifornica_ID_EscalH1.1G279500
gene_trees/12588.treefile	N5	100	Genome_Epleiosperma_ID_evm.model.CTG_190.134	Genome_Epleiosperma_ID_evm.model.CTG_190.149.2
gene_trees/12588.treefile	N3	98	Genome_Cchinensis_ID_KAF9624073.1	Genome_Cchinensis_ID_KAF9624072.1
gene_trees/12602.treefile	N1	77	Genome_Ecalifornica_ID_EscalH1.1G366000	Genome_Ecalifornica_ID_EscalH1.1G578500
gene_trees/12637.treefile	N1	73	Genome_Ecalifornica_ID_EscalH1.2G091000	Genome_Ecalifornica_ID_EscalH1.1G582400
gene_trees/1266.treefile	N5	87	Genome_Ctomentella_ID_contig31R4T14.1	Genome_Ctomentella_ID_contig11A33T107.1
gene_trees/1268.treefile	N4	61	Genome_Ecalifornica_ID_EscalH1.1G229000	Genome_Ecalifornica_ID_EscalH1.2G227100
gene_trees/127.treefile	N5	99	Genome_Psomniferum_ID_LOC113310523	Genome_Psomniferum_ID_LOC113345763
gene_trees/12703.treefile	N1	49	Genome_Psomniferum_ID_LOC113293421	Genome_Psomniferum_ID_LOC113301268
gene_trees/12725.treefile	N2	60	Genome_Ctomentella_ID_contig37R13T16.1	Genome_Ctomentella_ID_contig6A46T171.1
gene_trees/12737.treefile	N1	83	Genome_Ecalifornica_ID_EscalH1.5G114500	Genome_Ecalifornica_ID_EscalH1.2G194700
gene_trees/12771.treefile	N1	87	Genome_Ecalifornica_ID_EscalH1.5G287100	Genome_Ecalifornica_ID_EscalH1.5G367500
gene_trees/12771.treefile	N5	95	Genome_Acoerulea_ID_Aqcoe7G395000	Genome_Acoerulea_ID_Aqcoe7G186100
gene_trees/1280.treefile	N4	27	Genome_Psomniferum_ID_LOC113313821	Genome_Psomniferum_ID_LOC113320372
gene_trees/12802.treefile	N4	16	Genome_Acoerulea_ID_Aqcoe7G181200	Genome_Acoerulea_ID_Aqcoe7G177600
